Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Latitude,Longitude,Elevation,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km,Region,Subregion,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5
283001,Abu,Volcanic field,-6850,Japan,34.4833,131.5167,641,3597,9594,117805,4071152,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , 
355096,Acamarachi,Stratovolcano,Unknown,Chile,-23.292,-67.618,6023,0,7,294,9092,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite, , , , , , , , 
342080,Acatenango,Stratovolcano(es),1972,Guatemala,14.501,-90.876,3976,4329,60730,1042836,7634778,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , 
321040,Adams,Stratovolcano,950,United States,46.206,-121.49,3742,0,70,4019,393303,Canada and Western USA,USA (Washington),Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , 
333050,Adams Seamount,Lava dome,-50,United Kingdom,-25.37,-129.27,-39,0,0,0,44,Hawaii and Pacific Ocean,Pacific Ocean (central),Intraplate / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , ,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , 
283170,Adatarayama,Stratovolcano(es),1996,Japan,37.647,140.281,1728,428,3936,717078,5024654,"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , 
221170,Adwa,Stratovolcano,Unknown,Ethiopia,10.063,40.831,1670,101,485,18645,1242922,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , 
221110,Afdera,Stratovolcano,Unknown,Ethiopia,13.088,40.853,1250,51,6042,8611,161009,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Rhyolite, , , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , 
284160,Agrigan,Stratovolcano,1917,United States,18.77,145.67,965,0,0,0,0,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
342100,Agua,Stratovolcano,Unknown,Guatemala,14.465,-90.743,3760,9890,114404,2530449,7441660,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , ,Dacite, , , , 
