Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Total Deaths,Total Injuries,Total Houses Destroyed
-141,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,40,,
79,8,25,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,2100,,
450,,,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,6,30000,,
764,,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,4,80,,
1362,6,5,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2010,Stratovolcano,5,220,,
1410,3,5,Nasudake,Honshu-Japan,Japan,37.125,139.963,1915,Stratovolcano,3,180,,
1485,1,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,1,,
1510,7,25,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,1,,
1536,3,23,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,1,,
1538,9,29,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,3,24,,
1568,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,485,Stratovolcano,3,1001,,
1570,,,Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344,Stratovolcano,,400,,
1580,5,1,Sao Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,3,10,,
1586,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,5,10000,,
1595,3,12,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,4,636,,
1598,5,13,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,800,,
1600,2,19,Huaynaputina,Peru,Peru,-16.608,-70.85,4850,Stratovolcano,6,1500,,
1629,,,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,2,4,,
1630,9,3,Furnas,Azores,Portugal,37.77,-25.32,805,Stratovolcano,4,200,,
1631,2,14,Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068,Shield volcano,,50,,
1631,12,16,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,4000,,
1638,,,Raung,Java,Indonesia,-8.119,114.056,3260,Stratovolcano,4,1001,,
1640,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,5000,,
1650,9,26,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,4,120,,
1660,2,,Teon,Banda Sea,Pacific Ocean,-6.976,129.144,728,Stratovolcano,4,3,,
1660,,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,6,2000,,
1663,8,16,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,5,5,,
1664,4,15,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,2,30,,
1669,3,19,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,2,5,
1672,4,24,Fayal,Azores,Portugal,38.576,-28.713,1041,Stratovolcano,2,3,,
1672,8,4,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,3000,,
1677,11,22,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,2,1,,
1682,8,12,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,4,,
1684,12,,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,2,1,,
1711,12,11,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,3000,,
1716,11,9,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,3,1,31,
1717,2,7,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,3,1,30,
1718,2,1,Pico,Azores,Portugal,38.47,-28.4,2351,Stratovolcano,2,2,,
1721,6,22,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,1,15,,
1727,8,3,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2010,Stratovolcano,4,3,,
1737,5,20,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,2,,
1755,10,17,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,2,,
1760,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,2000,,
1766,7,20,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,49,,
1772,5,9,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,35,,
1772,8,12,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,3,2957,,
1775,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,1300,,
1778,,,Raikoke,Kuril Is,Russia,48.292,153.25,551,Stratovolcano,4,15,,
1779,11,8,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,4,153,,
1780,7,27,Aogashima,Izu Is-Japan,Japan,32.458,139.759,423,Stratovolcano,3,7,,
1781,4,11,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,4,38,,
1783,4,10,Aogashima,Izu Is-Japan,Japan,32.458,139.759,423,Stratovolcano,3,7,,61
1783,8,5,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,4,1491,,
1785,4,18,Aogashima,Izu Is-Japan,Japan,32.458,139.759,423,Stratovolcano,3,135,,
1786,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,38,,
1790,11,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,4,5405,,
1794,6,15,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,400,,
1800,,,Hualalai,Hawaiian Is,United States,19.692,-155.87,2523,Shield volcano,0,2,,
1801,8,14,Chokaisan,Honshu-Japan,Japan,39.099,140.049,2236,Stratovolcano,2,8,,
1805,8,11,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,4,,
1808,5,1,Sao Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,1,9,,
1812,4,27,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,4,56,,
1812,8,6,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,953,,
1814,2,1,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,4,1200,,
1815,4,10,Tambora,Lesser Sunda Is,Indonesia,-8.25,118,2850,Stratovolcano,7,60000,,
1816,7,5,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,1,,
1822,3,9,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,4,50,53,
1822,10,8,Galunggung,Java,Indonesia,-7.25,108.058,2168,Stratovolcano,5,4011,,
1822,12,27,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,100,,
1832,12,25,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,32,,
1833,11,24,Kaba,Sumatra,Indonesia,-3.522,102.615,1940,Stratovolcano,2,126,,
1838,2,26,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,2,4,,
1840,7,2,Ararat,Turkey,Turkey,39.7,44.3,5165,Stratovolcano,3,1900,,
