Volcano Number,Eruption Number,Volcano Name,Area of Activity,VEI,Start Date,days,End Date,Eruption Category,Evidence Method (dating),Latitude,Longitude
284110,22509,Kita-Ioto,,NA,2023-05-11,0,2023-05-11,Uncertain Eruption,Observations: Reported,25.424,141.284
252120,22508,Ulawun,,1,2023-03-28,0,2023-03-28,Confirmed Eruption,Observations: Reported,-5.05,151.33
284070,22505,Myojinsho,,NA,2023-01-26,0,2023-01-26,Uncertain Eruption,Observations: Reported,31.888,139.918
345070,22458,Turrialba,,1,2022-07-17,0,2022-07-17,Confirmed Eruption,Observations: Reported,10.025,-83.767
252120,22453,Ulawun,,2,2022-06-02,0,2022-06-02,Confirmed Eruption,Observations: Reported,-5.05,151.33
261230,22446,Dempo,,1,2022-05-31,0,2022-05-31,Confirmed Eruption,Observations: Reported,-4.016,103.121
257020,22445,Gaua,Mt. Garet,1,2022-05-03,0,2022-05-03,Confirmed Eruption,Observations: Reported,-14.281,167.514
260010,22449,Barren Island,,NA,2022-05-15,0,2022-05-15,Uncertain Eruption,Observations: Satellite (infrared),12.278,93.858
345040,22448,Poas,Crater lake - Fumarola Naranja,1,2022-04-06,0,2022-04-06,Confirmed Eruption,Observations: Reported,10.2,-84.233
351060,22451,Purace,Between Puracé and Curiquinga,1,2022-03-29,0,2022-03-29,Confirmed Eruption,Observations: Reported,2.32,-76.4
284110,22447,Kita-Ioto,Funka-Asane,1,2022-03-27,0,2022-03-27,Confirmed Eruption,Observations: Reported,25.424,141.284
264050,22434,Sangeang Api,,2,2022-02-17,0,2022-02-17,Confirmed Eruption,Observations: Reported,-8.2,119.07
290260,22484,Chirinkotan,,2,2022-10-07,0,2022-10-07,Confirmed Eruption,Observations: Reported,48.98,153.48
264260,22437,"Tara, Batu",,NA,2022-01-31,0,2022-01-31,Uncertain Eruption,Observations: Reported,-7.791,123.585
264270,22405,Sirung,,1,2021-07-21,0,2021-07-21,Confirmed Eruption,Observations: Reported,-8.508,124.13
263200,22397,Dieng Volcanic Complex,,1,2021-04-29,0,2021-04-29,Confirmed Eruption,Observations: Reported,-7.2,109.879
273083,22423,Pinatubo,,1,2021-11-30,0,2021-11-30,Confirmed Eruption,Observations: Reported,15.13,120.35
257020,22475,Gaua,Mt. Garet,1,2021-11-16,0,2021-11-16,Confirmed Eruption,Observations: Reported,-14.281,167.514
282050,22391,Kuchinoerabujima,,1,2020-08-29,0,2020-08-29,Confirmed Eruption,Observations: Reported,30.443,130.217
311240,22361,Cleveland,,3,2020-06-01,0,2020-06-01,Confirmed Eruption,Observations: Reported,52.825,-169.944
282060,22359,Kikai,,1,2020-04-29,0,2020-04-29,Confirmed Eruption,Observations: Reported,30.793,130.305
343100,22355,San Miguel,,1,2020-02-22,0,2020-02-22,Confirmed Eruption,Observations: Reported,13.434,-88.269
282060,22374,Kikai,,1,2020-10-06,0,2020-10-06,Confirmed Eruption,Observations: Reported,30.793,130.305
344020,22311,San Cristobal,,1,2019-03-04,0,2019-03-04,Confirmed Eruption,Observations: Reported,12.702,-87.004
241040,22338,Whakaari/White Island,1978/90 Crater Complex,2,2019-12-09,0,2019-12-09,Confirmed Eruption,Observations: Reported,-37.52,177.18
282060,22339,Kikai,,2,2019-11-02,0,2019-11-02,Confirmed Eruption,Observations: Reported,30.793,130.305
290200,22287,Ketoi,,1,2018-09-21,0,2018-09-21,Uncertain Eruption,Observations: Reported,47.35,152.475
252120,22285,Ulawun,,1,2018-06-08,0,2018-06-08,Confirmed Eruption,Observations: Reported,-5.05,151.33
344020,22266,San Cristobal,,1,2018-04-22,0,2018-04-22,Confirmed Eruption,Observations: Reported,12.702,-87.004
263200,22263,Dieng Volcanic Complex,Sileri Crater,1,2018-04-01,0,2018-04-01,Confirmed Eruption,Observations: Reported,-7.2,109.879
284070,22504,Myojinsho,,NA,2018-03-24,0,2018-03-24,Uncertain Eruption,Observations: Reported,31.888,139.918
